post_title;post_name;ID;sku;product_url;images
Профессиональный укрепляющий шампунь;%d0%bf%d1%80%d0%be%d1%84%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%83%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd;1895;15832;http://израильскаякосметика.рф/product/%d0%bf%d1%80%d0%be%d1%84%d0%b5%d1%81%d1%81%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%83%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/bio-spa-professional-shampoo-stronger-hair-enriched-carrot-sea-buckthorn.gif
Canaan Organic Восстанавливающий крем для тела;canaan-organic-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0;1896;16393;http://израильскаякосметика.рф/product/canaan-organic-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-organic-revitalizing-body-cream-organic-skin-care.gif
Canaan Восстанавливающий шампунь, Organic Skin Care;canaan-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-organic-skin-care;1897;16384;http://израильскаякосметика.рф/product/canaan-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%b0%d0%b2%d0%bb%d0%b8%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%b9-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-organic-skin-care;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-restorative-organic-shampoo-organic-skin-care.gif
Canaan крем для рук, Dead Sea Cosmetics;canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-dead-sea-cosmetics;1898;16410;http://израильскаякосметика.рф/product/canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-dead-sea-cosmetics;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-hand-cream-dead-sea-cosmetics.gif
Canaan Крем-пилинг для ног, Dead Sea Cosmetics;canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d0%b3-dead-sea-cosmetics;1899;16422;http://израильскаякосметика.рф/product/canaan-%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%be%d0%b3-dead-sea-cosmetics;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-peeling-foot-cream-dead-sea-cosmetics.gif
Canaan Лосьон для тела на водной основе, Dead Sea Cosmetics;canaan-%d0%bb%d0%be%d1%81%d1%8c%d0%be%d0%bd-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-%d0%bd%d0%b0-%d0%b2%d0%be%d0%b4%d0%bd%d0%be%d0%b9-%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%b5-dead-sea-cosmetics;1900;16446;http://израильскаякосметика.рф/product/canaan-%d0%bb%d0%be%d1%81%d1%8c%d0%be%d0%bd-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-%d0%bd%d0%b0-%d0%b2%d0%be%d0%b4%d0%bd%d0%be%d0%b9-%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%b5-dead-sea-cosmetics;
Canaan Масло - кондиционер для тела, Organic Cosmetics;canaan-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-organic-cosmetics;1901;16385;http://израильскаякосметика.рф/product/canaan-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-organic-cosmetics;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-conditioning-body-oil-organic-cosmetics.gif
Canaan Массажное масло для тела, Dead Sea Cosmetics;canaan-%d0%bc%d0%b0%d1%81%d1%81%d0%b0%d0%b6%d0%bd%d0%be%d0%b5-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-dead-sea-cosmetics;1902;16448;http://израильскаякосметика.рф/product/canaan-%d0%bc%d0%b0%d1%81%d1%81%d0%b0%d0%b6%d0%bd%d0%be%d0%b5-%d0%bc%d0%b0%d1%81%d0%bb%d0%be-%d0%b4%d0%bb%d1%8f-%d1%82%d0%b5%d0%bb%d0%b0-dead-sea-cosmetics;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-rich-massage-body-oil-dead-sea-cosmetics.gif
Canaan многофункциональный крем для рук, Organic Cosmetics;canaan-%d0%bc%d0%bd%d0%be%d0%b3%d0%be%d1%84%d1%83%d0%bd%d0%ba%d1%86%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-organic-cosmet;1903;16389;http://израильскаякосметика.рф/product/canaan-%d0%bc%d0%bd%d0%be%d0%b3%d0%be%d1%84%d1%83%d0%bd%d0%ba%d1%86%d0%b8%d0%be%d0%bd%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-organic-cosmet;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-multi-action-hand-cream-organic-cosmetics.gif
Canaan Мыло с минеральной грязью Мертвого Моря, Dead Sea;canaan-%d0%bc%d1%8b%d0%bb%d0%be-%d1%81-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d0%b9-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc;1904;16427;http://израильскаякосметика.рф/product/canaan-%d0%bc%d1%8b%d0%bb%d0%be-%d1%81-%d0%bc%d0%b8%d0%bd%d0%b5%d1%80%d0%b0%d0%bb%d1%8c%d0%bd%d0%be%d0%b9-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/canaan-mineral-mud-soap-dead-sea-cosmetics.gif
Hypoallergenic Olive Oil and Honey, Dead Sea Soap;hypoallergenic-olive-oil-and-honey-dead-sea-soap;1905;13174;http://израильскаякосметика.рф/product/hypoallergenic-olive-oil-and-honey-dead-sea-soap;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/hypoallergenic-olive-oil-honey-dead-sea-soap.jpg
Dead Sea Защитный крем для рук, Natural Sea Beauty;dead-sea-%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-natural-sea-beauty;1906;7116;http://израильскаякосметика.рф/product/dead-sea-%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-natural-sea-beauty;
Dead Sea Интенсивный защитный крем для рук, Sea of Spa;dead-sea-%d0%b8%d0%bd%d1%82%d0%b5%d0%bd%d1%81%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-sea-of-spa;1907;15330;http://израильскаякосметика.рф/product/dead-sea-%d0%b8%d0%bd%d1%82%d0%b5%d0%bd%d1%81%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-%d0%b7%d0%b0%d1%89%d0%b8%d1%82%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d1%80%d1%83%d0%ba-sea-of-spa;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-intensive-protection-hand-cream-sea-spa.gif
Dead Sea Маска - кондиционер с грязью Мертвого Моря;dead-sea-%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d1%81-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3;1908;15344;http://израильскаякосметика.рф/product/dead-sea-%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d1%81-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-hair-conditioning-mud-mask-sea-spa.jpg
Dead Sea Маска для окрашенных волос с облепихой;dead-sea-%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-%d0%b4%d0%bb%d1%8f-%d0%be%d0%ba%d1%80%d0%b0%d1%88%d0%b5%d0%bd%d0%bd%d1%8b%d1%85-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d0%be%d0%b1%d0%bb%d0%b5%d0%bf%d0%b8%d1%85;1909;14899;http://израильскаякосметика.рф/product/dead-sea-%d0%bc%d0%b0%d1%81%d0%ba%d0%b0-%d0%b4%d0%bb%d1%8f-%d0%be%d0%ba%d1%80%d0%b0%d1%88%d0%b5%d0%bd%d0%bd%d1%8b%d1%85-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d0%be%d0%b1%d0%bb%d0%b5%d0%bf%d0%b8%d1%85;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-minerals-sea-buckthorn-obliphica-nourishing-hair-mask-dry-or-colored-hair.jpg
Dead Sea Мыло - молочко против псориаза;dead-sea-%d0%bc%d1%8b%d0%bb%d0%be-%d0%bc%d0%be%d0%bb%d0%be%d1%87%d0%ba%d0%be-%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2-%d0%bf%d1%81%d0%be%d1%80%d0%b8%d0%b0%d0%b7%d0%b0;1910;15595;http://израильскаякосметика.рф/product/dead-sea-%d0%bc%d1%8b%d0%bb%d0%be-%d0%bc%d0%be%d0%bb%d0%be%d1%87%d0%ba%d0%be-%d0%bf%d1%80%d0%be%d1%82%d0%b8%d0%b2-%d0%bf%d1%81%d0%be%d1%80%d0%b8%d0%b0%d0%b7%d0%b0;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-skin-relief-psoriasis-body-milk-soap.jpg
Dead Sea Набор для ухода за ногтями;dead-sea-%d0%bd%d0%b0%d0%b1%d0%be%d1%80-%d0%b4%d0%bb%d1%8f-%d1%83%d1%85%d0%be%d0%b4%d0%b0-%d0%b7%d0%b0-%d0%bd%d0%be%d0%b3%d1%82%d1%8f%d0%bc%d0%b8;1911;15940;http://израильскаякосметика.рф/product/dead-sea-%d0%bd%d0%b0%d0%b1%d0%be%d1%80-%d0%b4%d0%bb%d1%8f-%d1%83%d1%85%d0%be%d0%b4%d0%b0-%d0%b7%d0%b0-%d0%bd%d0%be%d0%b3%d1%82%d1%8f%d0%bc%d0%b8;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-nail-care-kit.gif
Крем - пилинг с Глицерином, апельсиновым маслом и витамином Е;%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d1%81-%d0%b3%d0%bb%d0%b8%d1%86%d0%b5%d1%80%d0%b8%d0%bd%d0%be%d0%bc-%d0%b0%d0%bf%d0%b5%d0%bb%d1%8c%d1%81%d0%b8%d0%bd%d0%be%d0%b2%d1%8b;1912;16008;http://израильскаякосметика.рф/product/%d0%ba%d1%80%d0%b5%d0%bc-%d0%bf%d0%b8%d0%bb%d0%b8%d0%bd%d0%b3-%d1%81-%d0%b3%d0%bb%d0%b8%d1%86%d0%b5%d1%80%d0%b8%d0%bd%d0%be%d0%bc-%d0%b0%d0%bf%d0%b5%d0%bb%d1%8c%d1%81%d0%b8%d0%bd%d0%be%d0%b2%d1%8b;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/dead-sea-soapless-peeling-glycerin-orange-oil-vitamin-e.gif
Увлажняющий крем с Алоэ Вера;%d1%83%d0%b2%d0%bb%d0%b0%d0%b6%d0%bd%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d1%81-%d0%b0%d0%bb%d0%be%d1%8d-%d0%b2%d0%b5%d1%80%d0%b0;1913;15230;http://израильскаякосметика.рф/product/%d1%83%d0%b2%d0%bb%d0%b0%d0%b6%d0%bd%d1%8f%d1%8e%d1%89%d0%b8%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d1%81-%d0%b0%d0%bb%d0%be%d1%8d-%d0%b2%d0%b5%d1%80%d0%b0;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/hb-dead-sea-aloe-vera-moisturizer-180ml.jpg
HandB Dead Sea Minerals Refreshing Foot Cream Deodarant, 100 ml tube;handb-dead-sea-minerals-refreshing-foot-cream-deodarant-100-ml-tube;1914;14943;http://израильскаякосметика.рф/product/handb-dead-sea-minerals-refreshing-foot-cream-deodarant-100-ml-tube;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/hb-dead-sea-minerals-refreshing-foot-cream-deodarant-100-ml-tube.jpg
Mogador питательный крем для волос, Аргановое масло (Mogador Nourishing Hair Cream, Argan Oil);mogador-%d0%bf%d0%b8%d1%82%d0%b0%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d0%b0%d1%80%d0%b3%d0%b0%d0%bd%d0%be%d0%b2%d0%be;1915;16544;http://израильскаякосметика.рф/product/mogador-%d0%bf%d0%b8%d1%82%d0%b0%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b5%d0%bc-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d0%b0%d1%80%d0%b3%d0%b0%d0%bd%d0%be%d0%b2%d0%be;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/mogador-nourishing-hair-cream-argan-oil.jpg
Natural Sea Beauty Кондиционер для волос с грязью Мертвого Моря;natural-sea-beauty-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80;1916;16987;http://израильскаякосметика.рф/product/natural-sea-beauty-%d0%ba%d0%be%d0%bd%d0%b4%d0%b8%d1%86%d0%b8%d0%be%d0%bd%d0%b5%d1%80-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%be%d0%bb%d0%be%d1%81-%d1%81-%d0%b3%d1%80%d1%8f%d0%b7%d1%8c%d1%8e-%d0%bc%d0%b5%d1%80;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/natural-sea-beauty-mud-hair-conditioner.jpg
Sea of Spa Серное Мыло, Dead Sea;sea-of-spa-%d1%81%d0%b5%d1%80%d0%bd%d0%be%d0%b5-%d0%bc%d1%8b%d0%bb%d0%be-dead-sea;1917;15324;http://израильскаякосметика.рф/product/sea-of-spa-%d1%81%d0%b5%d1%80%d0%bd%d0%be%d0%b5-%d0%bc%d1%8b%d0%bb%d0%be-dead-sea;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/sea-spa-sulfur-dead-sea-soap.jpg
Sea of Spa Шампунь с черной глиной Мертвого Моря;sea-of-spa-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d1%81-%d1%87%d0%b5%d1%80%d0%bd%d0%be%d0%b9-%d0%b3%d0%bb%d0%b8%d0%bd%d0%be%d0%b9-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%be;1918;15853;http://израильскаякосметика.рф/product/sea-of-spa-%d1%88%d0%b0%d0%bc%d0%bf%d1%83%d0%bd%d1%8c-%d1%81-%d1%87%d0%b5%d1%80%d0%bd%d0%be%d0%b9-%d0%b3%d0%bb%d0%b8%d0%bd%d0%be%d0%b9-%d0%bc%d0%b5%d1%80%d1%82%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%be;http://xn--80aaathfccpbcgq1axteu5pnc.xn--p1ai/wp-content/uploads/2016/05/sea-spa-dead-sea-black-mud-shampoo.jpg
