;Бланк заказа ООО ИКЦ КОНТРАКТ на 25.05.17;;;;;Сумма;4;Общий заказ;;Итого со скидкой;;;;;;;;
6130/0;;"Z-46
Защитный бальзам для губ с ароматом ванили 4 г
5200393893721";Z-46;0,01;28;5200393893721;0;299р.;194р.;; - ;;;Мгновенное увлажнение. Богат питательными веществами, смягчает, успокаивает и защищает губы от высыхания. С SPF 10.Содержание натуральных ингредиентов: 99%Тип кожи: все типы кожи, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 4 гр.;Isoamyl Laurate, Isoamyl Cocoate, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Sesamum Indicum (Sesame) Oil, Polyglyceryl-2 Dipolyhydroxy stearate, Polyglyceryl-3 Diisostearate, Cera Alba (Beeswax), Euphorbia Cerifera (Candelilla) Cera, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Extract, Copernicia Cerifera (Carnauba) Cera, Olus Oil, Olea Europaea (Olive) Fruit Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Unsaponifiables, Butyrospermum Parkii (Shea Butter), Cetyl Alcohol, Tocopheryl Acetate, Aroma (Flavor), Shorea Stenoptera (Illipe) Seed Butter, Persea Gratissima (Avocado) Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri (Dragon's Blood) Resin Powder, Sodium Hyaluronate, Hydrogenated Castor Oil, Glycerin, Aqua (Water), Vanilla Tahitensis Fruit Extract, Sorbic Acid;;;
6131/0;;"Z-47
Защитный бальзам для губ с ароматом манго 4 г
5200393818243";Z-47;0,01;28;5200393818243;0;299р.;194р.;; - ;;;Мгновенное увлажнение. Богат питательными веществами, смягчает, успокаивает и защищает губы от высыхания. С SPF 10.Содержание натуральных ингредиентов: 99%Тип кожи: все типы кожи, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 4 гр.;Isoamyl Laurate, Isoamyl Cocoate, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Sesamum Indicum (Sesame) Oil, Polyglyceryl-2 Dipolyhydroxy stearate, Polyglyceryl-3 Diisostearate, Cera Alba (Beeswax), Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Extract, Copernicia Cerifera (Carnauba) Cera, Olus Oil, Olea Europaea (Olive) Fruit Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Butyrospermum Parkii (Shea Butter), Cetyl Alcohol, Tocopheryl Acetate, Aroma (Flavor), Shorea Stenoptera (Illipe) Seed Butter, Persea Gratissima (Avocado) Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri Resin Powder, Sodium Hyaluronate, Hydrogenated Castor Oil, Mangifera Indica (Mango) Seed Butter;;;
6132/0;;"Z-49
Защитный бальзам для губ с ароматом малины 4 г
5200393891826";Z-49;0,01;28;5200393891826;0;299р.;194р.;; - ;;;Мгновенное увлажнение. Богат питательными веществами, смягчает, успокаивает и защищает губы от высыхания. С SPF 10.Содержание натуральных ингредиентов: 99%Тип кожи: все типы кожи, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 4 гр.;Isoamyl Laurate, Isoamyl Cocoate, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Sesamum Indicum (Sesame) Oil, Polyglyceryl-2 Dipolyhydroxy stearate, Polyglyceryl-3 Diisostearate, Cera Alba (Beeswax), Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Extract, Copernicia Cerifera (Carnauba) Wax, Olus Oil, Olea Europaea (Olive) Fruit Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Buturospermum Parkii (Shea Butter), Cetyl Alcohol, Tocopheryl Acetate, Aroma (Flavor), Shorea Stenoptera (Illipe) Seed Butter, Persea Gratissima (Avocado) Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri Resin Powder, Sodium Hyaluronate, Rubus Idaeus (Raspberry) Fruit Extract, Hydrogenated Castor Oil;;;
6133/0;;"Z-51
Защитный бальзам для губ с маслом какао  4 г
5200393876922";Z-51;0,01;28;5200393876922;0;299р.;194р.;; - ;;;Мгновенное увлажнение. Богат питательными веществами, смягчает, успокаивает и защищает губы от высыхания. С SPF 10.Содержание натуральных ингредиентов: 99%Тип кожи: все типы кожи, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 4 гр.;Isoamyl Laurate, Isoamyl Cocoate, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Sesamum Indicum (Sesame) Oil, Polyglyceryl-2 Dipolyhydroxy stearate, Polyglyceryl-3 Diisostearate, Cera Alba (Beeswax), Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Extract, Copernicia Cerifera (Carnauba) Wax, Olus Oil, Olea Europaea (Olive) Fruit Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Butyrospermum Parkii (Shea Butter), Cetyl Alcohol, Tocopheryl Acetate, Aroma (Flavor), Shorea Stenoptera (Illipe) Seed Butter, Persea Gratissima (Avocado) Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri Resin Powder, Sodium Hyaluronate, Theobroma Cacao (Cocoa) Seed Butter, Hydrogenated Castor Oil;;;
6134/0;;"Z-52
Защитный бальзам для губ оригинальный, без запаха 4 г
5200393810940";Z-52;0,01;28;5200393810940;0;299р.;194р.;; - ;;;Мгновенное увлажнение. Без запаха. Богат питательными веществами, смягчает, успокаивает и защищает губы от высыхания. С SPF 10.Содержание натуральных ингредиентов: 100%Тип кожи: все типы кожи, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 4 гр.;Isoamyl Laurate, Isoamyl Cocoate, Ricinus Communis (Castor) Seed Oil, Zinc Oxide, Sesamum Indicum (Sesame) Oil, Polyglyceryl-3 Dipolyhydroxy stearate, Polyglyceryl-3 Diisostearate, Cera Alba (Beeswax), Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Extract, Copernicia Cerifera (Carnauba) Wax, Olus Oil, Olea Europaea (Olive) Fruit Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Butyrospermum Parkii (Shea Butter), Cetyl Alcohol, Tocopheryl Acetate, Shorea Stenoptera (Illipe) Seed Butter, Persea Gratissima (Avocado) Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri Resin Powder, Sodium Hyaluronate, Hydrogenated Castor Oil;;;
;Aphrodite;Уход за телом;;;;;;;;;;;;;;;;
6139/0;;"Z-10
Гель  для душа ""Очищение и свежесть"" с алоэ вера и киви 250 мл
5200393801986";Z-10;0,28;410;5200393801986;0;599р.;389р.;; - ;;;С экстрактами алоэ вера и женьшеня. Освежает, мягко очищает и глубоко увлажняет кожу. Создает ощущение свежести на целый день.Содержание натуральных ингредиентов: 91%Тип кожи: все типы кожиТип волос: для всех типов волос.Потребности кожи: очищение и тонизирование, увлажнение и восстановление сияния. Объем: 200 мл.;Aqua (Water), Sodium Lauroyl Sarcosinate, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Coco Glucoside, Aloe Barbadensis Leaf Juice, Peg-90 Glyceryl Isostearate, Laureth- 2, Polyquaternium-7, Peg-7 Glyceryl Cocoate, Hydrolyzed Wheat Protein, Glycereth-8 Coconut Oil Esters, Olea Europaea (Olive) Fruit Oil, Biosaccharide Gum-1, Actinidia Chinensis (Kiwi) Fruit Water, Saccharum Officinarum (Sugar Cane) Extract, Panthenol, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance), Guar Hydroxypropyl Trimonium Chloride, Sodium Phytate;;;
6140/0;;"Z-35
Cкраб для тела с алоэ вера и ромашкой 200 мл
5200393831310";Z-35;0,22;614;5200393831310;0;749р.;487р.;; - ;;;Мягко отшелушивает кожу, эффективно удаляя ороговевшие клетки и загрязнения.Содержание натуральных ингредиентов: 97,5%Тип кожи: все типы кожи.Потребности кожи: очищение и тонизирование, увлажнение и восстановление сияния. Объем: 200 мл.;Aqua (Water), Olea Europaea (Olive) Seed Powder, Glycerin, Isoamyl Laurate, Isoamyl Cocoate, Aloe Barbadensis Leaf Juice, Cetearyl Alcohol, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Oryza Sativa Rice Starch, Cetearyl Olivate, Sorbitan Olivate, Olea Europaea (Olive) Fruit Oil, Prunus Amygdalus Dulcis (Sweet Almond) Powder, Chamomilla Recutita (Matricaria) Extract, Caprylic/Capric Triglyceride, Biosaccharide Gum-1, Cetyl Palmitate, Tocopheryl Acetate, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Allantoin, Sodium Phytate, Ethylhexylglycerin;;;
6145/0;;"Z-36
Крем для тела против растяжек 150 мл
5200393812425";Z-36;0,16;433;5200393812425;0;1 299р.;844р.;; - ;;;С какао-маслом, натуральными экстрактами и витаминами.Сочетание мощных регенерирующих ингредиентов помогает значительно улучшить эластичность кожи. Предотвращает и уменьшает появление растяжек.Содержание натуральных ингредиентов: 94%Тип кожи: все типы кожи.Потребности кожи: антивозрастной уход, восстановление упругости, увлажнение и восстановление сияния. Объем: 150 мл.;Aqua (Water), Ethylhexyl Olivate, Glycerin Empetrum Nigrum (Crowberry) Fruit Juice, Peg-8 C-12-20 Alkyl Ester, Neopentyl Glycol Dicaprylate/Dicaprate, Cetearyl Olivate, Sorbitan Olivate, Snail Secretion Filtrate, Glyceryl Stearate, PEG-100 Stearate, Hydrogenated Olive Oil, Olea Europaea (Olive) Fruit Oil, Olea Europaea (Olive) Oil Unsaponifiables, Theobroma Cacao (Cocoa) Seed Butter, Cetyl Alcohol, Butylene Glycol, Equisetum Arvense (Horsetail) Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Tocopheryl Acetate, Panthenol, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Parfum (Fragrance), Allantoin, Sodium Phytate, Ethylhexylglycerin;;;
6141/0;;"Z-43
Крем-масло для тела с миндалем и медом 200 мл
5200393809609";Z-43;0,24;451;5200393809609;0;1 099р.;714р.;; - ;;;Интенсивно увлажняет и питает кожу, делая ее мягкой и шелковистой. Нежная текстура, приятный аромат.Содержание натуральных ингредиентов: 96,6%Тип кожи: нормальная, чувствительная.Потребности кожи: увлажнение и восстановление сияния, снятие раздражения. Объем: 200 мл.;Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth- 20, Isoamyl Laurate, Isoamyl Cocoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Glycerin, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Sorbitan Olivate, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Aleurites Moluccana (Kukui) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ethylhexyl Olivate, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Tocopheryl Acetate, Honey Extract, Cera Alba (Beeswax), Panthenol, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin;;;
6142/0;;"Z-44
Крем-масло для тела с какао и ванилью 200 мл
5200393809159";Z-44;0,24;451;5200393809159;0;1 099р.;714р.;; - ;;;Интенсивно увлажняет, смягчает и питает кожу. Обладает приятным ароматом.Содержание натуральных ингредиентов: 96,8%Тип кожи: сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния. Объем: 200 мл.;Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth- 20, Isoamyl Laurate, Isoamyl Cocoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Glycerin, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Sorbitan Olivate, Potassium PCA, Opuntia Ficus Indica (Prickly Pear) Stem Extract, Ethylhexyl Olivate, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Aloe Barbadensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Tocopheryl Acetate, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Vanilla Tahitensis Fruit Extract, Sorbic Acid, Cera Alba (Beeswax), Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Parfum (Fragrance), Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin.;;;
6143/0;;"Z-45
Крем-масло для тела с манго и папайей 200 мл
5200393839804";Z-45;0,24;451;5200393839804;0;1 099р.;714р.;; - ;;;Интенсивно увлажняет и питает, оставляя кожу мягкой и шелковистой. С легким освежающим ароматом.Содержание натуральных ингредиентов: 96,7%Тип кожи: все типы кожи.Потребности кожи: увлажнение и восстановление сияния. Объем: 200 мл.;Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth- 20 Isoamyl Laurate, Isoamyl Cocoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Glycerin, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Biosaccharide Gum-1, Cetearyl Olivate, Sorbitan Olivate, Ethylhexyl Olivate, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Sclerocarya Birrea (Marula) Seed Oil, Tocopheryl Acetate, Tocopherol, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Mangifera Indica (Mango) Seed Butter, Carica Papaya Seed Oil, Bertholletia Excelsa (Brazil) Nut Oil, Panthenol, Cera Alba (Beeswax), Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin;;;
6144/0;;"Z-50
Крем-масло для тела с арганой и гранатом 200 мл
5200393812388";Z-50;0,24;451;5200393812388;0;1 099р.;714р.;; - ;;;Омолаживает и активно увлажняет кожу. Нежная, ароматная текстура с ярко выраженным антиоксидантным действием.Содержание натуральных ингредиентов: 96,5%Тип кожи: сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, антивозрастной уход, восстановление упругости, снятие раздражения. Объем: 200 мл.;Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth- 20, Isoamyl Laurate, Isoamyl Cocoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Glycerin, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Sorbitan Olivate, Argania Spinosa (Argan) Kernel Oil, Plukenetia Volubilis (Inca Inchi) Seed Oil, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Tocopheryl Acetate, Ethylhexyl Olivate, Hydrogenated Olive Oil, Olea Europaea (Olive) Unsaponifiables, Euterpe Olerecea (Acai) Pulp Powder, Elaeis Guineensis (Palm) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Punica Granatum (Pomegranate) Seed Extract, Achillea Millefolium (Yarrow) Flower Water, Panthenol, Cera Alba (Beeswax), Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Parfum (Fragrance) Sodiu, Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin;;;
6135/0;;"Z-9A
Лосьон для тела с авокадо и ромашкой 200 мл
5200393822905";Z-9A;0,22;614;5200393822905;0;799р.;519р.;; - ;;;Активно питает и успокаивает кожу, сохраняя ее мягкость и упругость. Легко впитывается.Содержание натуральных ингредиентов: 96,9%Тип кожи: сухая/обезвоженная, чувствительная.Потребности кожи: увлажнение и восстановление сияния, снятие раздражения.Объем: 200 мл.;Aqua (Water), Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Glycerin, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Cetearyl Olivate, Sorbita Olivate, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Aleurites Moluccana (Kukui) Seed Oil, Macadamia Ternifolia Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tocopheryl Acetate, Ethylhexyl Olivate, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Panthenol, Allantoin, Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Parfum (Fragrance), Sodium Phytate, Ethylhexylglycerin;;;
6136/0;;"Z-9B
Лосьон для тела с алоэ вера 200 мл
5200393809913";Z-9B;0,22;614;5200393809913;0;799р.;519р.;; - ;;;Интенсивно увлажняет, делая даже самую сухую кожу мягкой и шелковистой. Легко впитывается.Содержание натуральных ингредиентов: 97%Тип кожи: сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния. Объем: 200 мл.;Aqua (Water), Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Aloe Barbadensis Leaf Juice, Glycerin, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Cetearyl Olivate, Sorbitan Olivate, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Macadamia Ternifolia Seed Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Potassium PCA, Opuntia Ficus Indica (Prickly Pear) Stem Extract, Tocopheryl Acetate, Ethylhexyl Olivate, Cetaronia Siliqua (Carob) Seed Extract, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Allantoin, Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin, Parfum (Fragrance), Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Hydroxyisohexyl 3-cyclohexene Carboxaldehyde;;;
6137/0;;"Z-9C
Лосьон для тела с манго и папайей 200 мл
5200393812364";Z-9C;0,22;614;5200393812364;0;799р.;519р.;; - ;;;Защищает, питает и глубоко увлажняет кожу. С приятным ароматом тропических фруктов.Содержание натуральных ингредиентов: 97,2%Тип кожи: все типы кожи.Потребности кожи: увлажнение и восстановление сияния, защита от загрязнений окружающей среды, снятие раздражения. Объем: 200 мл.;Aqua (Water), Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Glycerin, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Cetearyl Olivate, Sorbitan Olivate, Olea Europaea (Olive) Fruit Oil, Sclerocarya Birrea (Marula) Seed Oil, Bertholletia Excelsa (Brazil) Nut Oil, Macadamia Ternifolia Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tocopheryl Acetate, Ethylhexyl Olivate, Biosaccharide Gum-1, Mangifera Indica (Mango) Seed Butter, Carica Papaya Seed Oil, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Allantoin, Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Parfum (Fragrance), Sodium Phytate, Ethylhexylglycerin;;;
6138/0;;"Z-9D
Лосьон для тела с арганой и гранатом 200 мл
5200393812371";Z-9D;0,22;614;5200393812371;0;799р.;519р.;; - ;;;Богат антиоксидантами и Омега жирными кислотами. Увлажняет, питает, предотвращает преждевременное старение кожи.Содержание натуральных ингредиентов: 97,2%Тип кожи: сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, антивозрастной уход, восстановление упругости. Объем: 200 мл.;Aqua (Water), Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Glycerin, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Cetearyl Olivate, Sorbitan Olivate, Olea Europaea (Olive) Fruit Oil, Argania Spinosa (Argan) Kernel Oil, Plukenetia Volubilis (Inca Inchi) Seed Oil, Macadamia Ternifolia Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tocopheryl Acetate, Ethylhexyl Olivate, Biosaccharide Gum-1, Punica Granatum Seed Extract, Achillea Millefolium Flower Water, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Allantoin, Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Parfum (Fragrance), Sodium Phytate, Ethylhexylglycerin;;;
;Aphrodite;Уход за кожей рук и ног;;;;;;;;;;;;;;;;
6151/0;;"Z-38
Крем для ног с алоэ вера и арникой 75 мл
5200393871927";Z-38;0,09;254;5200393871927;0;549р.;357р.;; - ;;;Интенсивно увлажняет и смягчает кожу, делая её бархатистой и эластичной. Обладает антибактериальным действием, улучшает регенерацию кожи.Содержание натуральных ингредиентов: 96,8%Тип кожи: сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния, снятие раздражения. Объем: 75 мл.;Aqua (Water), Aloe Barbadensis Leaf Juice, Glycerin, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Olea Europaea (Olive) Fruit Oil, Argania Spinosa (Argan) Kernel Oil, Croton Lechleri Resin Powder, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Sorbitan Olivate, Helianthus Annuus (Sunflower) Seed Oil, Heterothexa Inuloides (Arnica) Flower Extract, Alpha-Glucal Oligosaccharide, Hypericum Perforatum (St. John's Wort) Flower/Leaf/Stem Extract, Tocopheryl Acetate, Ethylhexyl Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Hydroxyisohexyl 3-cyclohexene Carboxaldehyde, Ammonium Acryloyldimethyltaurate/VP Copolymer, Allantoin, Sodium Phytate, Ethylhexylglycerin;;;
6146/0;;"Z-7
Мыло жидкое с алоэ вера и ромашкой 250 мл
5200393889489";Z-7;0,28;600;5200393889489;0;499р.;324р.;; - ;;;С оливковым маслом, алоэ вера и ромашкой. Нежно очищает, увлажняет и снимает раздражение кожи рук. Без сульфатов.Содержание натуральных ингредиентов: 92%Тип кожи: все типы кожи, сухая/обезвоженная, чувствительная.Потребности кожи: очищение и тонизирование, увлажнение и восстановление сияния, защита от загрязнений окружающей. среды. Объем: 250 мл.;Aqua (Water), Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Cocamidopropyl Betaine, Coco Glucoside, PEG-90 Glyceryl Isostearate, Laureth-2, Glycerin, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Juice, Olea Europaea (Olive) Fruit Oil, Polyquaternium-7, PEG-7 Glyceryl Cocoate, Guar Hydroxypropyl Trimonium Chloride, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance), Butylphenyl-methylpropional (Lilial), Hexyl Cinnamaldehyde, Sodium Phytate;;;
6147/0;;"Z-8A
Крем для рук с авокадо и ромашкой 75 мл
5200393810292";Z-8A;0,09;254;5200393810292;0;449р.;292р.;; - ;;;Успокаивает, увлажняет и защищает кожу рук от агрессивных воздействий внешней среды.Содержание натуральных ингредиентов: 96,4%Тип кожи: чувствительная.Потребности кожи: увлажнение и восстановление сияния, снятие раздражения, защита от загрязнений окружающей среды. Объем: 75 мл.;Aqua (Water), Glycerin, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, PEG-40 Stearate, Ceteareth-20, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Olea Europaea (Olive) Fruit Oil, Cetearyl Olivate, Sorbitan Olivate,  Persea Gratissima (Avocado) Oil, Aleurites Molucana (Kukui) Seed Oil, Tocopheryl Acetate, Ethylhexyl Olivate, Biosaccharide Gum-1, Chamomilla Recutita (Matricaria) Flower Extract, Helianthus Annuus (Sunflower) Seed Oil, Calendula Officinalis Flower Extract, Panthenol, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Allantoin, Sodium Polyacrylate, Parfum (Fragrance), Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin;;;
6148/0;;"Z-8B
Крем для рук с алоэ вера 75 мл
5200393820192";Z-8B;0,09;254;5200393820192;0;449р.;292р.;; - ;;;Активно увлажняет и питает. Быстро восстанавливает водный баланс кожи.Содержание натуральных ингредиентов: 96,4%Тип кожи: сухая/обезвоженная, чувствительная. Потребности кожи: увлажнение и восстановление сияния, защита от загрязнений окружающей среды, снятие раздражения. Объем: 75 мл.;Aqua (Water), Glycerin, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Cetearyl Alcohol, Glyceryl Stearate, PEG-40 Stearate, Ceteareth-20, Aloe Barbadensis Leaf Juice, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Olea Europaea (Olive) Fruit Oil, Cetearyl Olivate, Sorbitan Olivate, Potassium PCA, Opuntia Ficus Indica (Prickly Pear) Stem Extract, Cocos Nucifera (Coconut) oil, Ethylhexyl Olicate, Tocopheryl Acetate, Ceratonia Siliqua (Carob) Seed Extract, Panthenol, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Allantoin, Sodium Polyacrylate, Parfum (Fragrance), Linalool, Butylphenylmethylpropional (Lilial), a-iso Methyl Ionone, Hexyl Cinnamal, Citronellol, Coumarin, Geraniol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Phytate, Ethylhexylglycerin;;;
